City,highest_expense_type,lowest_expense_type
"Sangli, India",Grocery,Bills
"Vasai-Virar, India",Grocery,Bills
"Jorhat, India",Grocery,Bills
"Dehradun, India",Grocery,Bills
"Kayamkulam, India",Fuel,Bills
"Lalsot, India",Grocery,Entertainment
"Gokak, India",Grocery,Bills
"Panipat, India",Fuel,Bills
"Hazaribag, India",Grocery,Bills
"Paschim Punropara, India",Grocery,Bills
"Renukoot, India",Grocery,Bills
"Usilampatti, India",Grocery,Entertainment
"Sidhi, India",Food,Entertainment
"Rohtak, India",Grocery,Entertainment
"Phagwara, India",Grocery,Bills
"Mahalingapura, India",Grocery,Bills
"Saunda, India",Grocery,Bills
"Ratnagiri, India",Fuel,Food
"Chennai, India",Travel,Bills
"Farooqnagar, India",Grocery,Bills
"Kodungallur, India",Grocery,Bills
"Paravoor, India",Grocery,Bills
"Uchgaon, India",Grocery,Bills
"Guntur, India",Grocery,Bills
"Nizamabad, India",Fuel,Entertainment
"Parli, India",Grocery,Bills
"Bhilwara, India",Grocery,Food
"Karimnagar, India",Fuel,Food
"Shamsabad Agra, India",Grocery,Bills
"Rajula, India",Fuel,Bills
"Bankura, India",Grocery,Bills
"Khanna, India",Fuel,Bills
"Manglaur, India",Grocery,Bills
"Rae Bareli, India",Grocery,Entertainment
"Madikeri, India",Grocery,Bills
"Udgir, India",Grocery,Bills
"Ottappalam, India",Grocery,Bills
"Shahbad, India",Grocery,Bills
"Nowgong, India",Grocery,Entertainment
"Robertsganj, India",Grocery,Bills
"Kalpi, India",Grocery,Bills
"Risod, India",Grocery,Bills
"Mainaguri, India",Grocery,Bills
"Sidhpur, India",Grocery,Bills
"Shirur, India",Grocery,Bills
"Kolar, India",Grocery,Bills
"Manmad, India",Grocery,Entertainment
"Deoghar, India",Grocery,Bills
"Nadbai, India",Grocery,Entertainment
"Cherthala, India",Grocery,Food
"Dharmanagar, India",Grocery,Bills
"Sangrur, India",Grocery,Entertainment
"Viramgam, India",Grocery,Bills
"Manavadar, India",Grocery,Bills
"Narnaul, India",Fuel,Bills
"Lal Gopalganj Nindaura, India",Bills,Bills
"Palwancha, India",Grocery,Food
"Perambalur, India",Grocery,Bills
"Rayagada, India",Fuel,Fuel
"Jatani, India",Grocery,Fuel
"Koyilandy, India",Grocery,Bills
"Manwath, India",Grocery,Bills
"Nidadavole, India",Grocery,Bills
"Aurangabad, India",Grocery,Bills
"Rajakhera, India",Grocery,Bills
"Rajahmundry, India",Grocery,Bills
"Phusro, India",Grocery,Bills
"Noida, India",Grocery,Entertainment
"Nedumangad, India",Grocery,Bills
"Tharad, India",Grocery,Bills
"Sendhwa, India",Entertainment,Bills
"Ranaghat, India",Grocery,Bills
"Batala, India",Grocery,Bills
"Machilipatnam, India",Grocery,Bills
"Suar, India",Fuel,Bills
"Mudalagi, India",Grocery,Bills
"Mahnar Bazar, India",Fuel,Bills
"Pusad, India",Food,Bills
"Patiala, India",Grocery,Bills
"Madurai, India",Entertainment,Bills
"Kot Kapura, India",Grocery,Bills
"Visnagar, India",Fuel,Entertainment
"Pehowa, India",Grocery,Food
"Nagaur, India",Grocery,Bills
"Nagapattinam, India",Grocery,Bills
"Bheemunipatnam, India",Grocery,Bills
"Tarn Taran, India",Fuel,Bills
"Sattur, India",Grocery,Bills
"Nashik, India",Grocery,Bills
"Anjangaon, India",Fuel,Bills
"Sattenapalle, India",Grocery,Fuel
"Sainthia, India",Grocery,Bills
"Hisar, India",Grocery,Bills
"Shujalpur, India",Grocery,Entertainment
"North Lakhimpur, India",Food,Bills
"Hansi, India",Grocery,Food
"Chittur-Thathamangalam, India",Grocery,Entertainment
"Karur, India",Fuel,Bills
"Pipariya, India",Grocery,Bills
"Sikandra Rao, India",Fuel,Bills
"Talaja, India",Grocery,Entertainment
"Srinagar, India",Fuel,Bills
"Sanduru, India",Fuel,Bills
"Chandausi, India",Fuel,Entertainment
"Palasa Kasibugga, India",Grocery,Bills
"Kamareddy, India",Grocery,Entertainment
"Jamui, India",Grocery,Bills
"Madanapalle, India",Grocery,Bills
"Rayachoti, India",Fuel,Entertainment
"Sankarankoil, India",Grocery,Bills
"Murtijapur, India",Grocery,Entertainment
"Wai, India",Grocery,Bills
"Savarkundla, India",Fuel,Bills
"Agra, India",Grocery,Bills
"Alappuzha, India",Grocery,Bills
"Nadiad, India",Grocery,Entertainment
"Pattamundai, India",Grocery,Bills
"Zirakpur, India",Fuel,Entertainment
